Prime Minister,Name,Parties,Start Date,End Date,Appointed Date,Days in Office
Ruijs de Beerenbrouck I,Charles Ruijs de Beerenbrouck,rksp arp chu,09-09-1918,18-07-1922,18-09-1922,1470
Ruijs de Beerenbrouck II,Charles Ruijs de Beerenbrouck,rksp arp chu,18-09-1922,01-07-1925,04-08-1925,1051
Colijn I,Hendrikus Colijn (arp),rksp arp chu,04-08-1925,11-11-1925,08-03-1926,216
De Geer I,Dirk Jan de Geer (chu),rksp arp chu,08-03-1926,03-07-1929,10-08-1929,1251
Ruijs de Beerenbrouck III,Charles Ruijs de Beerenbrouck,rksp arp chu,10-08-1929,15-05-1933,26-05-1933,1385
Colijn II,Hendrikus Colijn (arp),rksp arp chu lsp vdb,26-05-1933,23-07-1935,31-07-1935,796
Colijn III,Hendrikus Colijn (arp),rksp arp chu lsp vdb,31-07-1935,25-05-1937,24-06-1937,694
Colijn IV,Hendrikus Colijn (arp),rksp arp chu,24-06-1937,29-06-1939,25-07-1939,761
Colijn V,Hendrikus Colijn,arp chu lsp,25-07-1939,27-07-1939,10-08-1939,16
De Geer II,Dirk Jan de Geer (chu),rksp sdap arp chu vdb,10-08-1939,03-09-1940,03-09-1940,390
Schermerhorn-Drees,Wim Schermerhorn (vdb),kvp sdap arp vdb,24-06-1945,16-05-1946,03-07-1946,374
Beel I,Louis Beel (kvp),kvp pvda,03-07-1946,07-08-1948,07-08-1948,766
Drees-Van Schaik,Willem Drees (pvda),kvp pvda chu vvd,07-08-1948,24-01-1951,15-03-1951,950
Drees I,Willem Drees (pvda),kvp pvda chu vvd,15-03-1951,25-06-1952,02-09-1952,537
Drees II,Willem Drees (pvda),pvda kvp arp chu,02-09-1952,13-06-1956,13-10-1956,1502
Drees III,Willem Drees (pvda),pvda kvp arp chu,13-10-1956,11-12-1958,22-12-1958,800
Beel II,Louis Beel (kvp),kvp arp chu,22-12-1958,12-03-1959,19-05-1959,148
De Quay,Jan de Quay (kvp),kvp vvd arp chu,19-05-1959,15-05-1963,24-07-1963,1527
Marijnen,Victor Marijnen (kvp),kvp vvd arp chu,24-07-1963,27-02-1965,14-04-1965,630
Cals,Jo Cals (kvp),kvp pvda arp,14-04-1965,14-10-1966,22-11-1966,587
Zijlstra,Jelle Zijlstra (arp),kvp arp,22-11-1966,15-02-1967,05-04-1967,134
De Jong,Piet de Jong (kvp),kvp vvd arp chu,05-04-1967,28-04-1971,06-07-1971,1553
Biesheuvel I,Barend Biesheuvel (arp),kvp vvd arp chu ds70,06-07-1971,19-07-1972,09-08-1972,400
Biesheuvel II,Barend Biesheuvel (arp),kvp vvd arp chu,09-08-1972,29-11-1972,11-05-1973,275
Den Uyl,Joop den Uyl (pvda),pvda kvp arp ppr d66,11-05-1973,22-03-1977,19-12-1977,1683
Van Agt I,Dries van Agt (cda),cda vvd,19-12-1977,26-05-1981,11-09-1981,1362
Van Agt II,Dries van Agt (cda),cda pvda d66,11-09-1981,12-05-1982,29-05-1982,260
Van Agt III,Dries van Agt (cda),cda d66,29-05-1982,08-09-1982,04-11-1982,159
Lubbers I,Ruud Lubbers (cda),cda vvd,04-11-1982,22-05-1986,14-07-1986,1348
Lubbers II,Ruud Lubbers (cda),cda vvd,14-07-1986,03-05-1989,07-11-1989,1212
Lubbers III,Ruud Lubbers (cda),cda pvda,07-11-1989,10-05-1994,22-08-1994,1749
Kok I,Wim Kok (pvda),pvda vvd d66,22-08-1994,06-05-1998,03-08-1998,1442
Kok II,Wim Kok (pvda),pvda vvd d66,03-08-1998,16-04-2002,22-07-2002,1449
Balkenende I,Jan Peter Balkenende (cda),cda lpf vvd,22-07-2002,16-10-2002,27-05-2003,309
Balkenende II,Jan Peter Balkenende (cda),cda vvd d66,27-05-2003,30-06-2006,07-07-2006,1137
Balkenende III,Jan Peter Balkenende (cda),cda vvd,07-07-2006,22-11-2006,22-02-2007,230
Balkenende IV,Jan Peter Balkenende (cda),cda pvda cu,22-02-2007,20-02-2010,14-10-2010,1330
Rutte I,Mark Rutte (vvd),vvd cda,14-10-2010,23-04-2012,05-11-2012,753
Rutte II,Mark Rutte (vvd),vvd pvda,05-11-2012,14-03-2017,26-10-2017,1816
Rutte III,Mark Rutte (vvd),vvd cda d66 cu,26-10-2017,15-01-2021,10-01-2022,1537
Rutte IV,Mark Rutte (vvd),vvd d66 cda cu,10-01-2022,07-07-2023,02-07-2024,904
Schoof,Dick Schoof (ind),pvv vvd nsc bbb,02-07-2024,Present,,
